student_id,course_id,course_name,grade,gpa,performance_level,ingestion_timestamp
STU00054,ENG101,Chemistry,A,0.0,,2026-09-18 11:36:26.866352
STU00084,MATH201,Chemistry,A,0.0,,2026-09-18 11:36:26.866352
STU00013,MATH201,English,B,2.6574852069680364,Medium,2026-09-18 11:36:26.866352
STU00063,CS102,Calculus,A,4.0,Excellent,2026-09-18 11:36:26.866352
STU00079,ENG101,Programming,B,0.2707172916353841,Low,2026-09-18 11:36:26.866352
STU00053,PHYS101,Physics,c,0.0,,2026-09-18 11:36:26.866352
STU00036,CS101,English,B,0.0,,2026-09-18 11:36:26.866352
STU00005,CS101,Programming,F,4.0,Excellent,2026-09-18 11:36:26.866352
STU00089,CS101,Physics,F,4.0,Excellent,2026-09-18 11:36:26.866352
STU00048,CS101,Programming,C,4.0,Excellent,2026-09-18 11:36:26.866352
STU00028,PHYS101,Physics,A,0.9645036975425784,Low,2026-09-18 11:36:26.866352
STU00057,CS101,Programming,B,4.0,Excellent,2026-09-18 11:36:26.866352
STU00031,ENG101,Chemistry,A,0.0,,2026-09-18 11:36:26.866352
STU00047,MATH201,Physics,F,0.0,,2026-09-18 11:36:26.866352
STU00088,CHEM101,Physics,C,0.0,,2026-09-18 11:36:26.866352
STU00070,CHEM101,English,F,0.0,,2026-09-18 11:36:26.866352
STU00083,CHEM101,Physics,c,0.0,,2026-09-18 11:36:26.866352
STU00046,CHEM101,Calculus,B,4.0,Excellent,2026-09-18 11:36:26.866352
STU00008,MATH201,Programming,A,0.0,,2026-09-18 11:36:26.866352
STU00051,ENG101,Physics,C,0.0,,2026-09-18 11:36:26.866352
STU00025,PHYS101,Calculus,B,1.144443582206195,Low,2026-09-18 11:36:26.866352
STU00016,MATH201,Data Structures,B,4.0,Excellent,2026-09-18 11:36:26.866352
STU00059,ENG101,Chemistry,c,4.0,Excellent,2026-09-18 11:36:26.866352
STU00012,PHYS101,Physics,A,0.0,,2026-09-18 11:36:26.866352
STU00085,ENG101,English,A,0.0,,2026-09-18 11:36:26.866352
STU00082,CHEM101,Physics,C,4.0,Excellent,2026-09-18 11:36:26.866352
STU00077,MATH201,Programming,D,0.0,,2026-09-18 11:36:26.866352
STU00003,MATH201,Data Structures,A,0.0,,2026-09-18 11:36:26.866352
STU00007,CS101,Physics,C,4.0,Excellent,2026-09-18 11:36:26.866352
STU00043,CHEM101,Chemistry,D,4.0,Excellent,2026-09-18 11:36:26.866352
STU00032,CHEM101,Physics,D,4.0,Excellent,2026-09-18 11:36:26.866352
STU00017,CS102,Chemistry,C,0.0,,2026-09-18 11:36:26.866352
STU00073,CS102,Programming,C,0.0,,2026-09-18 11:36:26.866352
STU00027,ENG101,Physics,B,1.4061879350879685,Low,2026-09-18 11:36:26.866352
STU00009,PHYS101,Calculus,F,4.0,Excellent,2026-09-18 11:36:26.866352
STU00098,CS102,English,B,0.0,,2026-09-18 11:36:26.866352
STU00071,CS101,Calculus,c,1.0982214402994304,Low,2026-09-18 11:36:26.866352
STU00076,CHEM101,Calculus,c,0.0,,2026-09-18 11:36:26.866352
STU00030,CS101,Programming,A,0.0,,2026-09-18 11:36:26.866352
STU00100,CHEM101,English,B,4.0,Excellent,2026-09-18 11:36:26.866352
STU00019,CS102,Programming,C,1.4486023301736828,Low,2026-09-18 11:36:26.866352
