student_id,date,status,attendance_percentage,attendance_level,ingestion_timestamp
STU00083,2024-01-05,excused,0.0,,2026-09-18 11:36:26.852843
STU00039,2024-01-07,absent,0.0,,2026-09-18 11:36:26.852843
STU00059,2024-01-14,excused,0.0,,2026-09-18 11:36:26.852843
STU00041,2024-01-22,absent,0.0,,2026-09-18 11:36:26.852843
STU00097,2024-01-31,absent,0.0,,2026-09-18 11:36:26.852843
STU00010,2024-01-13,late,0.0,,2026-09-18 11:36:26.852843
STU00002,2024-01-22,excused,39.0,Poor,2026-09-18 11:36:26.852843
STU00080,2024-01-29,late,0.0,,2026-09-18 11:36:26.852843
STU00073,2024-01-06,late,0.0,,2026-09-18 11:36:26.852843
STU00013,2024-01-20,late,33.0,Poor,2026-09-18 11:36:26.852843
STU00069,2024-01-10,excused,22.0,Poor,2026-09-18 11:36:26.852843
STU00028,2024-01-13,present,20.0,Poor,2026-09-18 11:36:26.852843
STU00065,2024-01-18,excused,0.0,,2026-09-18 11:36:26.852843
STU00034,2024-01-27,present,0.0,,2026-09-18 11:36:26.852843
STU00017,2024-01-01,late,37.0,Poor,2026-09-18 11:36:26.852843
STU00045,2024-01-10,present,100.0,Excellent,2026-09-18 11:36:26.852843
STU00009,2024-01-10,present,100.0,Excellent,2026-09-18 11:36:26.852843
STU00032,2024-01-07,late,0.0,,2026-09-18 11:36:26.852843
STU00048,2024-01-14,present,0.0,,2026-09-18 11:36:26.852843
STU00037,2024-01-26,excused,0.0,,2026-09-18 11:36:26.852843
STU00021,2024-01-19,present,54.0,Fair,2026-09-18 11:36:26.852843
STU00057,2024-01-20,present,0.0,,2026-09-18 11:36:26.852843
STU00070,2024-01-21,absent,0.0,,2026-09-18 11:36:26.852843
STU00091,2024-01-11,late,0.0,,2026-09-18 11:36:26.852843
STU00079,2024-01-15,absent,100.0,Excellent,2026-09-18 11:36:26.852843
STU00084,2024-01-15,excused,100.0,Excellent,2026-09-18 11:36:26.852843
STU00068,2024-01-22,late,56.0,Fair,2026-09-18 11:36:26.852843
STU00086,2024-01-17,late,0.0,,2026-09-18 11:36:26.852843
STU00071,2024-01-16,absent,0.0,,2026-09-18 11:36:26.852843
STU00085,2024-01-29,absent,76.0,Good,2026-09-18 11:36:26.852843
STU00014,2024-01-31,present,100.0,Excellent,2026-09-18 11:36:26.852843
