event_id,name,date,location,capacity,organizer,ingestion_timestamp
EVT0001,Event 1,2024-03-17,Auditorium,100.0,Department,2026-09-18 11:36:26.877392
EVT0002,Event 2,2024-11-06,Gym,100.0,Club,2026-09-18 11:36:26.877392
EVT0003,Event 3,2024-09-20,Library,100.0,Club,2026-09-18 11:36:26.877392
EVT0004,Event 4,2024-03-12,Auditorium,100.0,Administration,2026-09-18 11:36:26.877392
EVT0005,Event 5,2024-06-16,Auditorium,100.0,Club,2026-09-18 11:36:26.877392
EVT0006,Event 6,2024-11-09,Auditorium,100.0,Department,2026-09-18 11:36:26.877392
EVT0007,Event 7,2024-06-12,Cafeteria,100.0,Administration,2026-09-18 11:36:26.877392
EVT0008,Event 8,2024-03-24,Auditorium,100.0,Student Council,2026-09-18 11:36:26.877392
EVT0009,Event 9,2024-07-20,Cafeteria,100.0,Department,2026-09-18 11:36:26.877392
EVT0010,Event 10,2024-11-11,Auditorium,148.0,Administration,2026-09-18 11:36:26.877392
EVT0011,Event 11,2024-06-02,Cafeteria,100.0,Club,2026-09-18 11:36:26.877392
EVT0012,Event 12,2024-10-30,Library,100.0,Department,2026-09-18 11:36:26.877392
EVT0013,Event 13,2024-06-21,Auditorium,100.0,Administration,2026-09-18 11:36:26.877392
EVT0014,Event 14,2024-09-16,Cafeteria,100.0,Student Council,2026-09-18 11:36:26.877392
EVT0015,Event 15,2024-09-17,Gym,149.0,Department,2026-09-18 11:36:26.877392
EVT0016,Event 16,2024-09-29,Unknown,148.0,Department,2026-09-18 11:36:26.877392
EVT0017,Event 17,2024-09-07,Gym,100.0,Administration,2026-09-18 11:36:26.877392
EVT0018,Event 18,2024-12-28,Cafeteria,100.0,Administration,2026-09-18 11:36:26.877392
EVT0019,Event 19,2024-10-15,Unknown,100.0,Club,2026-09-18 11:36:26.877392
EVT0020,Event 20,2024-06-02,Unknown,100.0,Club,2026-09-18 11:36:26.877392
EVT0021,Event 21,2024-08-31,Library,100.0,Department,2026-09-18 11:36:26.877392
EVT0022,Event 22,2024-01-09,Library,100.0,Student Council,2026-09-18 11:36:26.877392
EVT0023,Event 23,2024-07-07,Auditorium,71.0,Club,2026-09-18 11:36:26.877392
EVT0024,Event 24,2024-06-18,Library,100.0,Student Council,2026-09-18 11:36:26.877392
EVT0025,Event 25,2024-12-10,Auditorium,125.0,Administration,2026-09-18 11:36:26.877392
EVT0026,Event 26,2024-02-26,Gym,100.0,Administration,2026-09-18 11:36:26.877392
EVT0027,Event 27,2024-08-01,Auditorium,100.0,Club,2026-09-18 11:36:26.877392
EVT0028,Event 28,2024-10-25,Gym,27.0,Department,2026-09-18 11:36:26.877392
EVT0029,Event 29,2024-06-06,Auditorium,100.0,Administration,2026-09-18 11:36:26.877392
EVT0030,Event 30,2024-12-18,Library,100.0,Student Council,2026-09-18 11:36:26.877392
EVT0031,Event 31,2024-11-18,Cafeteria,100.0,Department,2026-09-18 11:36:26.877392
EVT0032,Event 32,2024-01-14,Gym,100.0,Club,2026-09-18 11:36:26.877392
EVT0033,Event 33,2024-11-01,Cafeteria,100.0,Administration,2026-09-18 11:36:26.877392
EVT0034,Event 34,2024-08-30,Auditorium,100.0,Club,2026-09-18 11:36:26.877392
EVT0035,Event 35,2024-05-15,Auditorium,100.0,Department,2026-09-18 11:36:26.877392
EVT0036,Event 36,2024-12-01,Cafeteria,100.0,Department,2026-09-18 11:36:26.877392
EVT0037,Event 37,2024-10-23,Gym,331.0,Department,2026-09-18 11:36:26.877392
EVT0038,Event 38,2024-10-22,Auditorium,465.0,Student Council,2026-09-18 11:36:26.877392
EVT0039,Event 39,2024-04-26,Gym,100.0,Department,2026-09-18 11:36:26.877392
EVT0040,Event 40,2024-01-27,Auditorium,274.0,Department,2026-09-18 11:36:26.877392
EVT0041,Event 41,2024-10-25,Library,100.0,Administration,2026-09-18 11:36:26.877392
EVT0042,Event 42,2024-09-02,Unknown,100.0,Student Council,2026-09-18 11:36:26.877392
EVT0043,Event 43,2024-03-28,Unknown,479.0,Student Council,2026-09-18 11:36:26.877392
EVT0044,Event 44,2024-09-25,Library,100.0,Club,2026-09-18 11:36:26.877392
EVT0045,Event 45,2024-11-18,Library,100.0,Department,2026-09-18 11:36:26.877392
EVT0046,Event 46,2024-11-13,Library,100.0,Administration,2026-09-18 11:36:26.877392
EVT0047,Event 47,2024-07-13,Unknown,449.0,Club,2026-09-18 11:36:26.877392
EVT0048,Event 48,2024-03-16,Library,100.0,Department,2026-09-18 11:36:26.877392
EVT0049,Event 49,2024-12-14,Auditorium,291.0,Student Council,2026-09-18 11:36:26.877392
EVT0050,Event 50,2024-05-04,Gym,100.0,Department,2026-09-18 11:36:26.877392
