vehicle_id,vehicle_type,capacity,status,ingestion_timestamp
VEH0001,Bus,50.0,inactive,2026-09-18 11:36:26.887197
VEH0002,Shuttle,10.0,active,2026-09-18 11:36:26.887197
VEH0003,Bus,50.0,active,2026-09-18 11:36:26.887197
VEH0004,Bus,50.0,active,2026-09-18 11:36:26.887197
VEH0005,Bus,50.0,maintenance,2026-09-18 11:36:26.887197
VEH0006,Shuttle,50.0,maintenance,2026-09-18 11:36:26.887197
VEH0007,Bus,50.0,maintenance,2026-09-18 11:36:26.887197
VEH0008,Shuttle,50.0,active,2026-09-18 11:36:26.887197
VEH0009,Taxi,50.0,inactive,2026-09-18 11:36:26.887197
VEH0010,Shuttle,50.0,active,2026-09-18 11:36:26.887197
VEH0011,Bus,50.0,active,2026-09-18 11:36:26.887197
VEH0012,Shuttle,59.0,active,2026-09-18 11:36:26.887197
VEH0013,Taxi,50.0,active,2026-09-18 11:36:26.887197
VEH0014,Shuttle,50.0,maintenance,2026-09-18 11:36:26.887197
VEH0015,Shuttle,93.0,inactive,2026-09-18 11:36:26.887197
VEH0016,Car,50.0,inactive,2026-09-18 11:36:26.887197
VEH0017,Shuttle,50.0,maintenance,2026-09-18 11:36:26.887197
VEH0018,Car,75.0,maintenance,2026-09-18 11:36:26.887197
VEH0019,Taxi,50.0,maintenance,2026-09-18 11:36:26.887197
VEH0020,Car,45.0,maintenance,2026-09-18 11:36:26.887197
VEH0021,Bus,70.0,active,2026-09-18 11:36:26.887197
VEH0022,Car,50.0,active,2026-09-18 11:36:26.887197
VEH0023,Bus,50.0,maintenance,2026-09-18 11:36:26.887197
VEH0024,Taxi,50.0,active,2026-09-18 11:36:26.887197
VEH0025,Car,50.0,active,2026-09-18 11:36:26.887197
VEH0026,Shuttle,50.0,active,2026-09-18 11:36:26.887197
VEH0027,Car,50.0,active,2026-09-18 11:36:26.887197
VEH0028,Car,50.0,inactive,2026-09-18 11:36:26.887197
VEH0029,Bus,49.0,active,2026-09-18 11:36:26.887197
VEH0030,Shuttle,50.0,active,2026-09-18 11:36:26.887197
