student_id,course_id,course_name,grade,gpa
STU00054,ENG101,Chemistry,A,-1.0
STU00084,MATH201,Chemistry,a,-1.0
STU00013,MATH201,English,B,2.6574852069680364
STU00063,CS102,Calculus,a,5.5
STU00079,ENG101,Programming,B,0.27071729163538416
STU00053,PHYS101,Physics,,
STU00036,CS101,English,b,
STU00005,CS101,Programming,F,5.5
STU00089,CS101,Physics,F,5.5
STU00048,CS101,Programming,C,5.5
STU00028,PHYS101,Physics,a,0.9645036975425785
STU00057,CS101,Programming,B,5.5
STU00057,ENG101,Calculus,C,5.5
STU00031,ENG101,Chemistry,a,-1.0
STU00047,MATH201,Physics,F,
STU00013,CS102,Chemistry,b,
STU00088,CHEM101,Physics,C,-1.0
STU00048,CS101,English,B,
STU00070,CHEM101,English,F,-1.0
STU00083,CHEM101,Physics,,-1.0
STU00046,CHEM101,Calculus,b,5.5
STU00008,MATH201,Programming,a,
STU00051,ENG101,Physics,C,
STU00036,CS101,Programming,,-1.0
STU00025,PHYS101,Calculus,B,1.1444435822061947
STU00016,MATH201,Data Structures,b,5.5
STU00059,ENG101,Chemistry,,5.5
STU00012,PHYS101,Physics,a,
STU00085,ENG101,English,A,
STU00028,CS101,Calculus,a,-1.0
STU00083,MATH201,Programming,F,
STU00082,CHEM101,Physics,C,5.5
STU00077,MATH201,Programming,D,
STU00003,MATH201,Data Structures,a,-1.0
STU00007,CS101,Physics,c,5.5
STU00043,CHEM101,Chemistry,D,5.5
STU00032,CHEM101,Physics,D,5.5
STU00017,CS102,Chemistry,C,
STU00073,CS102,Programming,C,
STU00027,ENG101,Physics,B,1.4061879350879685
STU00009,PHYS101,Calculus,F,5.5
STU00098,CS102,English,B,
STU00071,CS101,Calculus,,1.0982214402994304
STU00027,MATH201,Data Structures,,
STU00076,CHEM101,Calculus,,-1.0
STU00028,MATH201,Data Structures,A,-1.0
STU00030,CS101,Programming,a,
STU00043,MATH201,Chemistry,C,0.1391958631941681
STU00100,CHEM101,English,b,5.5
STU00019,CS102,Programming,C,1.4486023301736828
STU00077,PHYS101,Chemistry,C,
STU00001,CHEM101,Chemistry,C,5.5
STU00036,CHEM101,Data Structures,C,1.7757571567024133
STU00019,CHEM101,Calculus,c,5.5
STU00017,ENG101,Calculus,A,5.5
STU00070,ENG101,English,b,0.9984466123735918
STU00033,CHEM101,English,a,-1.0
STU00023,CS101,Data Structures,D,
STU00015,CHEM101,Data Structures,c,3.6541700232527465
STU00085,ENG101,Programming,F,5.5
STU00004,ENG101,Data Structures,c,-1.0
STU00017,MATH201,Calculus,D,5.5
STU00002,CS101,Data Structures,,
STU00046,CS102,Data Structures,D,-1.0
STU00031,MATH201,Chemistry,F,
STU00076,ENG101,Data Structures,c,
STU00042,MATH201,English,D,5.5
STU00003,MATH201,Programming,a,2.6713591619558716
STU00023,MATH201,Data Structures,c,5.5
STU00034,CS101,English,c,-1.0
STU00007,CS102,Physics,F,-1.0
STU00017,CS102,Physics,b,-1.0
STU00095,CHEM101,Chemistry,,-1.0
STU00054,ENG101,Chemistry,,-1.0
STU00068,PHYS101,Physics,b,3.1614922432309966
STU00015,CS101,English,C,5.5
STU00096,CS102,Chemistry,D,-1.0
STU00009,ENG101,English,C,2.4477934504820835
STU00061,ENG101,English,F,
STU00058,CS101,Chemistry,A,
STU00100,CS101,Calculus,c,
STU00047,ENG101,English,a,3.2933575980335625
STU00066,CHEM101,Calculus,,5.5
STU00076,CS102,Data Structures,B,
STU00014,PHYS101,Physics,,5.5
STU00058,PHYS101,Programming,B,-1.0
STU00065,PHYS101,Physics,F,-1.0
STU00029,MATH201,Physics,B,1.7304731459278995
STU00079,CS102,English,C,-1.0
STU00006,MATH201,Calculus,F,-1.0
STU00094,MATH201,Calculus,c,-1.0
STU00085,ENG101,Chemistry,,5.5
STU00067,MATH201,Programming,C,5.5
STU00039,CHEM101,Calculus,b,5.5
STU00059,CHEM101,Chemistry,B,5.5
STU00083,CS101,Programming,D,2.457713113232792
STU00004,CS101,Calculus,c,-1.0
STU00008,CS102,Physics,a,-1.0
STU00062,CS102,Physics,A,5.5
STU00052,CHEM101,Programming,b,3.370120016453556
STU00055,CS101,Programming,A,3.300945069306528
STU00088,ENG101,Calculus,b,5.5
STU00014,CS101,Calculus,,
STU00063,MATH201,Programming,a,2.47243370529983
STU00092,PHYS101,English,D,5.5
STU00057,ENG101,Programming,b,5.5
STU00010,PHYS101,Chemistry,B,
STU00011,PHYS101,Chemistry,a,1.1897354857189693
STU00042,CHEM101,Chemistry,D,-1.0
STU00078,PHYS101,Physics,A,
STU00019,PHYS101,Physics,a,5.5
STU00009,MATH201,Chemistry,B,5.5
STU00017,CS102,Chemistry,a,5.5
STU00036,CHEM101,English,C,5.5
STU00080,CS101,Programming,C,-1.0
STU00082,MATH201,Physics,A,3.042659979180699
STU00075,PHYS101,Chemistry,F,
STU00071,CS101,English,c,
STU00092,MATH201,Data Structures,C,0.9916755301021825
STU00042,ENG101,Calculus,c,
STU00049,ENG101,Chemistry,c,
STU00077,CHEM101,Physics,A,-1.0
STU00068,PHYS101,Chemistry,B,5.5
STU00038,CHEM101,Data Structures,A,-1.0
STU00059,ENG101,Programming,F,
STU00065,MATH201,Physics,D,5.5
STU00078,CS101,Programming,C,1.989481092190036
STU00056,CS102,Calculus,,
STU00013,PHYS101,English,,-1.0
STU00090,CHEM101,Programming,b,2.3333764479427064
STU00015,CS101,Chemistry,B,
STU00084,CS101,English,F,
STU00084,CS102,Data Structures,D,1.1429935257640702
STU00099,MATH201,Programming,F,
STU00071,CS102,Data Structures,B,5.5
STU00093,CS102,English,A,
STU00028,MATH201,Physics,D,
STU00056,MATH201,Physics,b,-1.0
STU00058,MATH201,Chemistry,c,5.5
STU00030,CS101,Chemistry,B,
STU00053,CS101,Chemistry,B,5.5
STU00044,PHYS101,Data Structures,c,3.301245271834454
STU00059,ENG101,Calculus,,0.5146535627568607
STU00052,PHYS101,Calculus,A,5.5
STU00054,CS102,Calculus,,5.5
STU00094,CS102,Physics,D,-1.0
STU00013,PHYS101,Physics,C,
STU00041,CHEM101,Calculus,F,2.0003116142825754
STU00055,ENG101,English,b,5.5
STU00041,CS102,Chemistry,A,
STU00054,ENG101,Chemistry,A,-1.0
STU00084,MATH201,Chemistry,a,-1.0
STU00013,MATH201,English,B,2.6574852069680364
STU00063,CS102,Calculus,a,5.5
STU00079,ENG101,Programming,B,0.27071729163538416
STU00053,PHYS101,Physics,,
STU00036,CS101,English,b,
STU00005,CS101,Programming,F,5.5
STU00089,CS101,Physics,F,5.5
STU00048,CS101,Programming,C,5.5
STU00028,PHYS101,Physics,a,0.9645036975425785
STU00057,CS101,Programming,B,5.5
STU00057,ENG101,Calculus,C,5.5
STU00031,ENG101,Chemistry,a,-1.0
STU00047,MATH201,Physics,F,
