student_id,date,status,attendance_percentage
STU00083,2024-01-05,EXCUSED,-10.0
STU00039,2024-01-07,Absent,
STU00059,2024-01-14,Excused,-10.0
STU00041,2024-01-22,Absent,
STU00097,2024-01-31,ABSENT,
STU00010,2024-01-13,LATE,
STU00002,2024-01-22,Excused,39.0
STU00059,2024-01-24,Present,78.0
STU00080,2024-01-29,LATE,-10.0
STU00073,2024-01-06,Late,-10.0
STU00013,2024-01-20,  LATE  ,33.0
STU00010,2024-01-19,  present  ,-10.0
STU00069,2024-01-10,  Excused  ,22.0
STU00028,2024-01-13,  present  ,20.0
STU00065,2024-01-18,  EXCUSED  ,
STU00034,2024-01-27,  Present  ,
STU00017,2024-01-01,  LATE  ,37.0
STU00045,2024-01-10,  Present  ,150.0
STU00009,2024-01-10,  PRESENT  ,150.0
STU00032,2024-01-07,  LATE  ,
STU00048,2024-01-14,  present  ,-10.0
STU00037,2024-01-26,Excused,-10.0
STU00021,2024-01-19,present,54.0
STU00057,2024-01-20,Present,-10.0
STU00070,2024-01-21,ABSENT,-10.0
STU00091,2024-01-11,LATE,-10.0
STU00039,2024-01-15,Late,9.0
STU00079,2024-01-15,Absent,150.0
STU00084,2024-01-15,Excused,150.0
STU00068,2024-01-22,Late,56.0
STU00002,2024-01-07,Late,150.0
STU00086,2024-01-17,LATE,
STU00071,2024-01-16,ABSENT,
STU00039,2024-01-26,LATE,56.0
STU00085,2024-01-29,ABSENT,76.0
STU00014,2024-01-31,PRESENT,150.0
STU00018,2024-01-26,Excused,150.0
STU00034,2024-01-24,Present,3.0
STU00015,2024-01-06,EXCUSED,29.0
STU00014,2024-01-22,Present,150.0
STU00096,2024-01-03,Late,73.0
STU00071,2024-01-10,Absent,-10.0
STU00020,2024-01-17,PRESENT,
STU00035,2024-01-22,Present,-10.0
STU00037,2024-01-21,Present,
STU00078,2024-01-20,Absent,
STU00027,2024-01-11,Absent,
STU00092,2024-01-03,Present,
STU00044,2024-01-27,present,150.0
STU00027,2024-01-31,Absent,85.0
STU00088,2024-01-25,present,150.0
STU00082,2024-01-08,Excused,
STU00034,2024-01-22,PRESENT,
STU00065,2024-01-10,Absent,97.0
STU00063,2024-01-08,Excused,58.0
STU00033,2024-01-26,ABSENT,150.0
STU00007,2024-01-07,Late,41.0
STU00012,2024-01-05,present,
STU00082,2024-01-01,PRESENT,65.0
STU00055,2024-01-02,present,
STU00036,2024-01-08,ABSENT,52.0
